StartPos,Str,ColName,ColWidth,ColLabel
3921,numeric,LETDIE1,20,Allow incurable patients to die
3941,numeric,SUICIDE1,20,Suicide if incurable disease
3961,numeric,SUICIDE2,20,Suicide if bankrupt
3981,numeric,SUICIDE3,20,Suicide if dishonored family
4001,numeric,SUICIDE4,20,Suicide if tired of living
4021,numeric,POLHITOK,20,Ever approve of police striking citizen
4041,numeric,POLABUSE,20,Citizen said vulgar or obscene things
4061,numeric,POLMURDR,20,Citizen questioned as murder suspect
4081,numeric,POLESCAP,20,Citizen attempting to escape custody
4101,numeric,POLATTAK,20,Citizen attacking policeman with fists
4121,numeric,FEAR,20,Afraid to walk at night in neighborhood
4141,numeric,OWNGUN,20,Have gun in home
4161,numeric,PISTOL,20,Pistol or revolver in home
4181,numeric,SHOTGUN,20,Shotgun in home
4201,numeric,RIFLE,20,Rifle in home
4221,numeric,ROWNGUN,20,Does gun belong to r
4241,numeric,HUNT,20,Does r or spouse hunt
4261,numeric,NEWS,20,How often does r read newspaper
4281,numeric,TVHOURS,20,Hours per day watching tv
4301,numeric,PHONE,20,Does r have telephone
4321,numeric,COOP,20,Rs attitude toward interview
4341,numeric,COMPREND,20,Rs understanding of questions
4361,numeric,FEPRESCH,20,Preschool kids suffer if mother works
4381,numeric,FEFAM,20,"Better for man to work, woman tend home"
4401,numeric,RACDIF1,20,Differences due to discrimination
4421,numeric,RACDIF2,20,Differences due to inborn disability
4441,numeric,RACDIF3,20,Differences due to lack of education
4461,numeric,RACDIF4,20,Differences due to lack of will
4481,numeric,HELPPOOR,20,Should govt improve standard of living?
4501,numeric,HELPNOT,20,Should govt do more or less?
4521,numeric,HELPSICK,20,Should govt help pay for medical care?
4541,numeric,HELPBLK,20,Should govt aid blacks?
4561,numeric,GOD,20,Rs confidence in the existence of god
4581,numeric,REBORN,20,Has r ever had a 'born again' experience
4601,numeric,SAVESOUL,20,Tried to convince others to accept jesus
4621,numeric,MARHISP,20,Close relative marry hispanic
4641,numeric,DISCAFF,20,Whites hurt by aff. action
4661,numeric,FEJOBAFF,20,For or against preferential hiring of women      
4681,numeric,DISCAFFM,20,A man won't get a job or promotion  
4701,numeric,DISCAFFW,20,A woman won't get a job or promotion             
4721,numeric,FEHIRE,20,Should hire and promote women                            
4741,numeric,RELPERSN,20,R consider self a religious person    
4761,numeric,SPRTPRSN,20,R consider self a spiritual person    
4781,numeric,OTHLANG,20,Can r speak language other than english/spanish
4801,numeric,OTHLANG1,20,What other languages does r speak
4821,numeric,OTHLANG2,20,What other languages does r speak
4841,numeric,MEOVRWRK,20,Men hurt family when focus on work too much
4861,numeric,DATEINTV,20,Date of interview
4881,numeric,COHORT,20,Year of birth
4901,numeric,BALLOT,20,Ballot used for interview
